侏罗纪世界2,925.7,41.74,125124.2,35.99,10
超人总动员2,840.9,37.92,9406.6,26.39,3
龙虾刑警,230.7,10.40,3389.8,17.00,3
猛虫过江,60.0,2.71,15024.0,7.28,10
生存家族,49.6,2.23,416.0,2.86,3
泄密者,18.4,0.83,6243.7,1.86,10
第七个小矮人,18.0,0.81,2256.0,1.24,9
超时空同居,17.2,0.78,88697.1,1.59,38
复仇者联盟3：...,15.2,0.69,238071.9,1.15,45
伊阿索密码,7.4,0.34,92.4,1.29,3
